"Sample Name","COSMIC identifier","Whole Exome Sequencing (WES)","Copy Number Alterations (CNA)","Gene Expression","Methylation","Drug
Response","GDSC
Tissue descriptor 1","GDSC
Tissue
descriptor 2","Cancer Type
(matching TCGA label)","Microsatellite 
instability Status (MSI)","Screen Medium","Growth Properties"
"H2795",1290813,"Y","Y","Y","Y","Y","lung","mesothelioma","MESO","MSS/MSI-L","R","Adherent"
"SW1417",909747,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","D/F12","Adherent"
"H2369",1290808,"Y","Y","Y","Y","Y","lung","mesothelioma","MESO","MSS/MSI-L","R","Adherent"
"647-V",906797,"Y","Y","Y","Y","Y","urogenital_system","Bladder","BLCA","MSS/MSI-L","D/F12","Adherent"
"TGBC24TKB",910695,"Y","Y","Y","Y","Y","digestive_system","biliary_tract","","MSS/MSI-L","D/F12","Adherent"
"H2595",1240132,"Y","Y","Y","Y","Y","lung","mesothelioma","MESO","MSS/MSI-L","R","Adherent"
"MPP-89",908150,"Y","Y","Y","Y","Y","lung","mesothelioma","MESO","MSS/MSI-L","D/F12","Adherent"
"IGR-1",907169,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"NCI-H2030",722045,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"SK-MEL-1",909723,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Suspension"
"COLO-205",905961,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","R","Suspension"
"BFTC-905",910926,"Y","Y","Y","Y","Y","urogenital_system","Bladder","BLCA","MSS/MSI-L","D/F12","Adherent"
"H2804",1240136,"Y","Y","Y","Y","Y","lung","mesothelioma","MESO","MSS/MSI-L","R","Adherent"
"REH",909696,"Y","Y","Y","Y","Y","leukemia","B_cell_leukemia","","MSI-H","R","Suspension"
"RH-41",1240210,"Y","Y","Y","Y","Y","soft_tissue","rhabdomyosarcoma","","MSS/MSI-L","R","Adherent"
"RPMI-8866",910544,"Y","Y","Y","Y","Y","leukemia","chronic_myeloid_leukaemia","LCML","MSS/MSI-L","R","Suspension"
"PANC-08-13",925347,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","R","Adherent"
"PCI-6A",1240206,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","R","Adherent"
"NCI-H1792",724868,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"NCI-H1355",724866,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"NCI-H1048",687995,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSI-H","D/F12","Adherent"
"OAW-42",910548,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","D/F12","Adherent"
"OE33",910549,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Adherent"
"OVCAR-8",905991,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","R","Adherent"
"Ramos-2G6-4C10",910401,"Y","Y","Y","Y","Y","lymphoma","Burkitt_lymphoma","","MSS/MSI-L","R","Suspension"
"RCC-JW",1524416,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","D/F12","Adherent"
"RH-18",971774,"Y","Y","Y","Y","Y","soft_tissue","rhabdomyosarcoma","","MSS/MSI-L","R","Adherent"
"RT4",687455,"Y","Y","Y","Y","Y","urogenital_system","Bladder","BLCA","MSS/MSI-L","D/F12","Adherent"
"PANC-10-05",925348,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","R","Adherent"
"PE/CA-PJ15",1240207,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"NCI-H1304",753599,"Y","Y","Y","N","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","D/F12","Suspension"
"NCI-H1915",1240184,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_large cell","","MSS/MSI-L","R","Adherent"
"NCI-H1623",687798,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"OCI-AML2",910947,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","D/F12","Suspension"
"ONS-76",909248,"Y","Y","Y","Y","Y","nervous_system","medulloblastoma","MB","MSS/MSI-L","R","Adherent"
"OVISE",1240198,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","R","Adherent"
"RC-K8",1330995,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"RL",910861,"Y","Y","Y","Y","Y","lymphoma","B_cell_lymphoma","DLBC","MSS/MSI-L","R","Suspension"
"RT-112",909704,"Y","Y","Y","Y","Y","urogenital_system","Bladder","BLCA","MSS/MSI-L","R","Adherent"
"PA-TU-8988T",1240201,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","D/F12","Adherent"
"PF-382",909260,"Y","Y","Y","Y","Y","leukemia","lymphoblastic_T_cell_leukaemia","ALL","MSS/MSI-L","R","Suspension"
"NCI-H1395",684681,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"NCI-H1755",908475,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"NCI-H1793",908463,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"RXF393",905978,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","R","Adherent"
"OSC-19",1298362,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"OVKATE",1240199,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","R","Adherent"
"RCC-AB",1524418,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","D/F12","Adherent"
"RERF-GC-1B",1240209,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSS/MSI-L","R","Adherent"
"RMG-I",909699,"Y","Y","Y","Y","Y","urogenital_system","ovary","","MSS/MSI-L","D/F12","Adherent"
"RVH-421",909706,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","R","Adherent"
"PC-14",753608,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"PFSK-1",683667,"Y","Y","Y","Y","Y","nervous_system","medulloblastoma","MB","MSS/MSI-L","R","Adherent"
"NCI-H1581",908471,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_large cell","","MSS/MSI-L","D/F12","Semi-Adherent"
"NCI-H1963",688010,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"NCI-H146",910899,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"QGP-1",1298534,"Y","Y","Y","Y","Y","pancreas","pancreas","","MSS/MSI-L","R","Adherent"
"OPM-2",909249,"Y","Y","Y","Y","Y","myeloma","myeloma","MM","MSS/MSI-L","R","Suspension"
"OVMIU",1240200,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","R","Adherent"
"RCM-1",909263,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSS/MSI-L","R","Adherent"
"RERF-LC-MS",910931,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"RPMI-2650",909700,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"QIMR-WIL",910545,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","D/F12","Suspension"
"PC-3 [JPC-3]",1240202,"Y","Y","Y","N","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"PL18",1240208,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","D/F12","Adherent"
"NCI-H1092",687997,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","D/F12","Suspension"
"NCI-H1573",908472,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"NCI-H1651",910900,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"RKN",1298539,"Y","Y","Y","Y","Y","urogenital_system","ovary","","MSS/MSI-L","D/F12","Adherent"
"OSC-20",1240196,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"PSN1",910546,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","R","Adherent"
"RF-48",909697,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSS/MSI-L","D/F12","Adherent"
"RO82-W-1",930083,"Y","Y","Y","Y","Y","thyroid","thyroid","THCA","MSS/MSI-L","D/F12","Adherent"
"P12-ICHIKAWA",909251,"Y","Y","Y","Y","Y","leukemia","lymphoblastic_T_cell_leukaemia","ALL","MSS/MSI-L","R","Suspension"
"PCI-30",1298529,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","R","Adherent"
"P32-ISH",1330987,"Y","Y","Y","Y","Y","lymphoma","Burkitt_lymphoma","","MSS/MSI-L","R","Suspension"
"NCI-H1648",687799,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"NCI-H1734",722058,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"NCI-H1563",753600,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"RCC-MF",1524419,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","D/F12","Adherent"
"OV-90",1240197,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","D/F12","Adherent"
"PL-21",1330991,"Y","Y","Y","Y","Y","leukemia","acute_myeloid_leukaemia","LAML","MSS/MSI-L","R","Suspension"
"RERF-LC-Sq1",1298538,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma","LUSC","MSS/MSI-L","R","Adherent"
"RPMI-6666",909701,"Y","Y","Y","Y","Y","lymphoma","Hodgkin_lymphoma","","MSS/MSI-L","R","Suspension"
"P30-OHK",909252,"Y","Y","Y","Y","Y","leukemia","lymphoblastic_leukemia","ALL","MSI-H","R","Suspension"
"PCI-15A",1240204,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","R","Adherent"
"OAW-28",946360,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","D/F12","Adherent"
"NCI-H1688",1298349,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Adherent"
"NCI-H1568",1298348,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"OCUB-M",909256,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Adherent"
"OVCAR-5",905969,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSS/MSI-L","R","Adherent"
"NCI-H1944",1240185,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","D/F12","Adherent"
"RD",909264,"Y","Y","Y","Y","Y","soft_tissue","rhabdomyosarcoma","","MSS/MSI-L","D/F12","Adherent"
"RH-1",971773,"Y","Y","Y","Y","Y","soft_tissue","rhabdomyosarcoma","","MSS/MSI-L","R","Adherent"
"RPMI-8226",905964,"Y","Y","Y","Y","Y","myeloma","myeloma","MM","MSS/MSI-L","R","Suspension"
"PANC-03-27",925346,"Y","Y","Y","Y","Y","pancreas","pancreas","PAAD","MSS/MSI-L","R","Adherent"
"PCI-38",1240205,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","R","Adherent"
"OC-314",909257,"Y","Y","Y","Y","Y","urogenital_system","ovary","OV","MSI-H","R","Adherent"
"NCI-H1993",908476,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"NCI-H1155",908467,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_large cell","","MSS/MSI-L","D/F12","Suspension"
"NCI-H1781",1298350,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"OE21",1298359,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Adherent"
"OS-RC-2",909250,"Y","Y","Y","Y","Y","kidney","kidney","KIRC","MSS/MSI-L","R","Adherent"
"NCI-H187",688007,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"KYSE-520",753575,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Adherent"
"KURAMOCHI",909975,"Y","Y","Y","Y","Y","urogenital_system","ovary","UNABLE TO CLASSIFY","MSS/MSI-L","R","Adherent"
"KINGS-1",907279,"Y","Y","Y","Y","Y","nervous_system","glioma","LGG","MSS/MSI-L","R","Adherent"
"LCLC-97TM1",946361,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_large cell","","MSS/MSI-L","R","Adherent"
"LU-99A",907796,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_large cell","","MSS/MSI-L","R","Adherent"
"LU-134-A",753588,"Y","Y","Y","Y","Y","lung_SCLC","lung_small_cell_carcinoma","SCLC","MSS/MSI-L","R","Suspension"
"LOU-NH91",1298226,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_squamous_cell_carcinoma","LUSC","MSS/MSI-L","R","Adherent"
"GAMG",906868,"Y","Y","Y","Y","Y","nervous_system","glioma","LGG","MSS/MSI-L","D/F12","Adherent"
"GMS-10",906873,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"MFE-319",1240174,"Y","Y","Y","Y","Y","urogenital_system","endometrium","UCEC","MSI-H","D/F12","Adherent"
"KLE",924187,"Y","Y","Y","Y","Y","urogenital_system","endometrium","UCEC","MSS/MSI-L","D/F12","Adherent"
"KY821",907300,"Y","Y","Y","Y","Y","leukemia","leukemia","LAML","MSS/MSI-L","R","Suspension"
"KATOIII",907276,"Y","Y","Y","Y","Y","digestive_system","stomach","STAD","MSS/MSI-L","D/F12","Semi-Adherent"
"KE-37",907277,"Y","Y","Y","Y","Y","leukemia","lymphoblastic_leukemia","ALL","MSS/MSI-L","R","Suspension"
"LCLC-103H",753586,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_large cell","","MSS/MSI-L","R","Adherent"
"L-1236",1330935,"Y","Y","Y","Y","Y","lymphoma","Hodgkin_lymphoma","","MSS/MSI-L","R","Suspension"
"LN-405",910694,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"L-540",907323,"Y","Y","Y","Y","Y","lymphoma","Hodgkin_lymphoma","","MSS/MSI-L","R","Suspension"
"GAK",910932,"Y","Y","Y","Y","Y","skin","melanoma","SKCM","MSS/MSI-L","D/F12","Adherent"
"GP5d",907291,"Y","Y","Y","Y","Y","large_intestine","large_intestine","COAD/READ","MSI-H","D/F12","Adherent"
"MFM-223",910948,"Y","Y","Y","Y","Y","breast","breast","BRCA","MSS/MSI-L","D/F12","Adherent"
"MES-SA",908127,"Y","Y","Y","Y","Y","urogenital_system","uterus","","MSS/MSI-L","R","Adherent"
"KYSE-270",907319,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Adherent"
"KYSE-410",753574,"Y","Y","Y","Y","Y","aero_dig_tract","oesophagus","ESCA","MSS/MSI-L","R","Adherent"
"KARPAS-231",1327774,"Y","Y","Y","Y","Y","leukemia","B_cell_leukemia","","MSS/MSI-L","R","Suspension"
"KP-3",1298219,"Y","Y","Y","Y","Y","pancreas","pancreas","UNABLE TO CLASSIFY","MSS/MSI-L","R","Adherent"
"LC-2-ad",907786,"Y","Y","Y","Y","Y","lung_NSCLC","lung_NSCLC_adenocarcinoma","LUAD","MSS/MSI-L","R","Adherent"
"L-363",924239,"Y","Y","Y","Y","Y","myeloma","myeloma","MM","MSS/MSI-L","R","Suspension"
"LN-229",1240169,"Y","Y","Y","Y","Y","nervous_system","glioma","GBM","MSS/MSI-L","D/F12","Adherent"
"FADU",906863,"Y","Y","Y","Y","Y","aero_dig_tract","head and neck","HNSC","MSS/MSI-L","D/F12","Adherent"
"G-401",907299,"Y","Y","Y","Y","Y","kidney","kidney","","MSS/MSI-L","R","Adherent"
